feature,impurity_importance,permutation_importance_mean,permutation_importance_std
feature_102,0.07056711192350892,0.057754227345821085,0.003899764485546796
feature_101,0.03220769156181213,0.016863607954957328,0.0013349036659788005
feature_100,0.026803661925132113,0.011774844963684828,0.0015339127063137658
feature_1,0.025603225972455252,0.011480242517619454,0.0023726357229311183
feature_6,0.02938946736200404,0.008002357404197424,0.001975130381576821
feature_129,0.009814900568459831,0.006301384817565825,0.0009698165508574322
feature_11,0.020606542103732382,0.00317718903384302,0.0009040619537100279
feature_18,0.013066404489688785,0.003111741498622167,0.0006969332748532892
feature_108,0.011077028790024522,0.0018707258135870375,0.0005024480127831815
feature_5,0.011629208863470285,0.0017910138917978436,0.00035629554998724646
feature_29,0.00881367738332859,0.0014806152186359611,0.00036727106169628715
feature_56,0.009324963949231472,0.0014771467943944904,0.00031810861224475327
feature_24,0.00932851506839146,0.0014329960585882096,0.00037968959652948965
feature_104,0.005869701490427801,0.0013744066717865544,0.00034440309941632897
feature_25,0.011436492612899732,0.0012824400257730128,0.0007116836188441573
feature_20,0.00921699261335586,0.0010833541607429443,0.0002167231101097221
feature_144,0.00219035784886937,0.0010428826529205626,0.0005282281407602372
feature_12,0.010849753746408963,0.0009062874492847151,0.0005349906071638984
feature_9,0.007667936951209832,0.0008401962599704826,0.0001401425304298699
feature_2,0.008543873528859606,0.000803805912600719,0.00018801865651120619
feature_8,0.008173454640589554,0.0007906770555247023,0.0003386757318786098
feature_16,0.007338478441733876,0.0007737790275346823,0.0002490670416023081
feature_13,0.008923503916931532,0.0005797524523219356,0.00034035484327329696
feature_63,0.007386329490789694,0.0004336514052625917,0.0001812059169983164
feature_69,0.007371072205076368,0.00037441555365088643,0.00017672176231649112
feature_66,0.006756476644677198,0.000357596225724699,0.00016216201467814857
feature_38,0.00846162534651154,0.00030812480346055217,0.00028143495538344104
feature_57,0.006781691699999171,0.00030572445151387794,0.00017090420634614827
feature_106,0.007023813517517769,0.00030437811827910277,0.0006256892862816023
feature_67,0.007257768655596583,0.0002942201886124263,0.00017826046721460863
