feature,impurity_importance,permutation_importance_mean,permutation_importance_std
feature_102,0.08661377993442602,0.048424238666080345,0.0012776178864073444
feature_101,0.04339879578873552,0.014601003111640054,0.0005242417002006577
feature_100,0.03280804644192823,0.011038814416811005,0.0003351047916261571
feature_1,0.022119941225960622,0.009538267006877299,0.0004482497059570902
feature_6,0.031018160940848454,0.006452652584438989,0.0003080894132358683
feature_104,0.009707992340068588,0.00335404906703638,0.0002177179384041411
feature_11,0.017888850293459786,0.0032731690161150297,0.00017693289099333129
feature_129,0.00498888187719894,0.002797992059873078,0.00017302561943931212
feature_108,0.01149208719946948,0.001976664325072619,0.00012292294279910368
feature_18,0.010785856662344767,0.001945288366167297,0.00010841452707737619
feature_103,0.0072248090670237585,0.0015247991990761545,0.00013595736967073605
feature_29,0.009737965960524892,0.0014231082089309233,8.457025783514044e-05
feature_13,0.009766174651013803,0.0012120494394821878,0.0001730961680980271
feature_5,0.010552009616262544,0.001175134132165989,0.00010998830608923395
feature_12,0.010001691857571599,0.0011608826229298596,0.00010186498307618144
feature_25,0.00995305560263362,0.0010696713613857823,0.00013697963791263037
feature_144,0.0017940407778000915,0.0009971662831865125,0.00013626556881268846
feature_20,0.010271085964671758,0.0009471016410170119,9.428437181928476e-05
feature_8,0.009561416387643148,0.0008836761722389675,0.00013369105983589898
feature_17,0.010583843450618675,0.0007560106046099913,0.00015161471122655836
feature_24,0.008799596726903499,0.0006231744464982647,0.00012732841111175362
feature_106,0.004134681291244724,0.0005728885241313541,0.00012199727919129061
feature_2,0.008900588064401931,0.0005709687520907503,7.613071804530096e-05
feature_27,0.00786691778544295,0.00044282270248350295,6.488556413270245e-05
feature_56,0.0079708872980602,0.0003976671306749502,5.303514819145243e-05
feature_31,0.008054235259658543,0.0003609692232687367,5.9665654358800115e-05
feature_9,0.007654943862007155,0.00033858071971668566,7.273777314228883e-05
feature_21,0.00981596475095357,0.0003360967694960859,9.315917713125253e-05
feature_4,0.008062970624581323,0.00032754098961917943,3.282567053050735e-05
feature_16,0.007510385244783165,0.0003126197557145716,5.196731407305286e-05
