feature,impurity_importance,permutation_importance_mean,permutation_importance_std
feature_102,0.046140118070280164,0.05512659383088202,0.004006143744397862
feature_101,0.02252650660859277,0.015863519867100474,0.0010271135798736188
feature_1,0.019709135551405955,0.01151394722531136,0.0025750905720809247
feature_100,0.018606967222255355,0.011051584350335064,0.0014110766810652513
feature_6,0.02225054957507811,0.008427460015027343,0.0017152934104685531
feature_129,0.00569400482395835,0.0046718184852735265,0.00080346327442587
feature_18,0.011668384365398845,0.0036662045286491194,0.00076751515073813
feature_11,0.01636662894404144,0.0028563541700748043,0.0008176274110780681
feature_5,0.010827771517040367,0.0018282980470355815,0.00036555293166002403
feature_29,0.008969317708394861,0.0017969276394512624,0.0003405413945921704
feature_108,0.010527388942796269,0.001405325959362358,0.00042343928895736174
feature_144,0.0016889609930865208,0.0014007290324199117,0.000557315270476831
feature_24,0.009595812822213742,0.001374409482503358,0.00030445114060114056
feature_16,0.008546040955230625,0.0011958516859072565,0.00018780547641252058
feature_25,0.010484805305040142,0.0011601021819144352,0.0006453345266149679
feature_106,0.005450792224688063,0.0011561826376642603,0.0005131127099978817
feature_20,0.00939948731229019,0.0011426307677451452,0.00042044708636687834
feature_56,0.009588345598084648,0.0010142569100624944,0.0003338267904074046
feature_104,0.004443212012541199,0.0008495390818334614,0.00048789373174802793
feature_27,0.007980553724548282,0.0008424406171479992,0.00018749330736290943
feature_13,0.008900195989215846,0.0008062849646115588,0.0002443874759138242
feature_9,0.008350442141023122,0.0007917437224614354,0.0001277939953370283
feature_12,0.010595673291991224,0.0005540470439751699,0.0005350471872249835
feature_31,0.009347462622424517,0.00047193055416435705,0.00042324229413439625
feature_66,0.007825080533607181,0.00044428715674557087,0.00017759466107024715
feature_14,0.008400823725151104,0.0004355711246768479,0.00024125990600959083
feature_92,0.008275181413904101,0.0003970277684182122,0.000225807718110794
feature_33,0.007795084147954617,0.00037691428067760936,0.0001836962683384991
feature_82,0.008709387604032674,0.0003556540205783998,0.0003726249639597552
feature_51,0.007584506499073927,0.00034957303528957426,9.641966966561238e-05
