feature,impurity_importance,permutation_importance_mean,permutation_importance_std
feature_102,0.05061156147448658,0.05215209183535592,0.0013895700481185748
feature_101,0.02792507144262345,0.01530243175538506,0.0005681639630441964
feature_100,0.018932827495498218,0.010613371165314179,0.0003011111851571076
feature_1,0.016176227081705217,0.009193855383858307,0.0005313644995221499
feature_6,0.021080867705078502,0.007011213363392677,0.00037844928980063753
feature_11,0.01457939974864193,0.0036316571273935947,0.0002602090568996105
feature_104,0.006295997169402622,0.0028251925927543554,0.00027280558262845415
feature_129,0.0030369781812016714,0.0025853799903094556,0.00013302372372045365
feature_18,0.010448668481230468,0.0020413957954148907,0.00012976920995214108
feature_103,0.006081043730005082,0.0019081033089344058,0.00014431600591443733
feature_108,0.010470193721843213,0.0017116063203631792,0.00018902127845387925
feature_29,0.009749536791724129,0.0013037740469324488,0.00013482289832988413
feature_5,0.010163176406446548,0.0011421500216894475,0.0001112689654407225
feature_12,0.01000191199765626,0.00107309941297411,0.00010597547525677912
feature_13,0.009494363186078063,0.0009971085018345206,0.00014091947694975563
feature_17,0.010481036216130899,0.0008082893683967196,0.00021145524694247188
feature_20,0.009991131956625088,0.0007852946710767306,0.00011494143144300938
feature_144,0.0013302744623421906,0.0007813360486166099,0.0001266698732785069
feature_25,0.009392653867343528,0.0007379905359522932,0.00015739387200078224
feature_8,0.009842919650905134,0.000680472267379817,0.00015795988290222474
feature_106,0.0036505583049214587,0.0006579260754420834,8.664733568022099e-05
feature_24,0.00910969164325751,0.0006215574360558084,0.00011629614821221514
feature_2,0.009271863017971204,0.0006172541796954257,0.00010065447962419587
feature_27,0.008436223376140136,0.000505705762044939,6.136624080415008e-05
feature_9,0.00869146344649938,0.00048476261078229667,8.805817467194146e-05
feature_56,0.008793557969477903,0.00046929232146566415,0.0001072727432219757
feature_21,0.009856279029202606,0.0004427354793149707,9.843141517302478e-05
feature_31,0.008507731961598536,0.00033272794629353176,0.00012342118308422432
feature_15,0.009083488034690385,0.00031894281869075946,8.960786158499306e-05
feature_30,0.008021345247615148,0.0002847894744469004,3.334481830704752e-05
