model,feature_group,importance
xgboost_classifier__base,text_lsa,0.7778555820696056
xgboost_classifier__base,numeric_metadata,0.15164511231705546
xgboost_classifier__base,primary_category,0.07049931632354856
xgboost_classifier__base_plus_full_text_affiliation_country,text_lsa,0.4919006903655827
xgboost_classifier__base_plus_full_text_affiliation_country,full_text,0.341733212582767
xgboost_classifier__base_plus_full_text_affiliation_country,numeric_metadata,0.1023003461305052
xgboost_classifier__base_plus_full_text_affiliation_country,primary_category,0.02469289838336408
xgboost_classifier__base_plus_full_text_affiliation_country,country,0.019814010243862867
xgboost_classifier__base_plus_full_text_affiliation_country,affiliation,0.019558758940547705
xgboost_classifier__base_plus_full_text_affiliation_country_history,text_lsa,0.4203040172578767
xgboost_classifier__base_plus_full_text_affiliation_country_history,full_text,0.2857769620604813
xgboost_classifier__base_plus_full_text_affiliation_country_history,author_history,0.1087254760786891
xgboost_classifier__base_plus_full_text_affiliation_country_history,numeric_metadata,0.08752872096374631
xgboost_classifier__base_plus_full_text_affiliation_country_history,primary_category,0.04121202789247036
xgboost_classifier__base_plus_full_text_affiliation_country_history,reference_history,0.03900399152189493
xgboost_classifier__base_plus_full_text_affiliation_country_history,country,0.009837661171332002
xgboost_classifier__base_plus_full_text_affiliation_country_history,affiliation,0.007611171109601855
xgboost_classifier__base_plus_full_text_affiliation_venue_history,text_lsa,0.3815247326856479
xgboost_classifier__base_plus_full_text_affiliation_venue_history,full_text,0.24057848821394145
xgboost_classifier__base_plus_full_text_affiliation_venue_history,author_history,0.10242238105274737
xgboost_classifier__base_plus_full_text_affiliation_venue_history,venue_identity,0.09035408985801041
xgboost_classifier__base_plus_full_text_affiliation_venue_history,numeric_metadata,0.07752093090675771
xgboost_classifier__base_plus_full_text_affiliation_venue_history,reference_history,0.056302248034626245
xgboost_classifier__base_plus_full_text_affiliation_venue_history,primary_category,0.02118788962252438
xgboost_classifier__base_plus_full_text_affiliation_venue_history,country,0.01842479850165546
xgboost_classifier__base_plus_full_text_affiliation_venue_history,affiliation,0.011684439843520522
xgboost_classifier__base_plus_full_text_history,text_lsa,0.44233136030379683
xgboost_classifier__base_plus_full_text_history,full_text,0.2831969759427011
xgboost_classifier__base_plus_full_text_history,author_history,0.11819724156521261
xgboost_classifier__base_plus_full_text_history,numeric_metadata,0.08435446256771684
xgboost_classifier__base_plus_full_text_history,reference_history,0.043368746526539326
xgboost_classifier__base_plus_full_text_history,primary_category,0.02855121484026313
xgboost_classifier__base_plus_full_text_lsa,text_lsa,0.5227201241068542
xgboost_classifier__base_plus_full_text_lsa,full_text,0.3457781355828047
xgboost_classifier__base_plus_full_text_lsa,numeric_metadata,0.10237316763959825
xgboost_classifier__base_plus_full_text_lsa,primary_category,0.029128631111234426
xgboost_classifier__base_plus_full_text_venue_identity,text_lsa,0.45616111624985933
xgboost_classifier__base_plus_full_text_venue_identity,full_text,0.3029020023532212
xgboost_classifier__base_plus_full_text_venue_identity,venue_identity,0.11472211952786893
xgboost_classifier__base_plus_full_text_venue_identity,numeric_metadata,0.09860524162650108
xgboost_classifier__base_plus_full_text_venue_identity,primary_category,0.02760951593518257
xgboost_classifier__base_plus_full_text_venue_identity_history,text_lsa,0.3940482949838042
xgboost_classifier__base_plus_full_text_venue_identity_history,full_text,0.2583960606716573
xgboost_classifier__base_plus_full_text_venue_identity_history,author_history,0.09919801913201809
xgboost_classifier__base_plus_full_text_venue_identity_history,venue_identity,0.08363460004329681
xgboost_classifier__base_plus_full_text_venue_identity_history,numeric_metadata,0.08082713314797729
xgboost_classifier__base_plus_full_text_venue_identity_history,reference_history,0.045630757696926594
xgboost_classifier__base_plus_full_text_venue_identity_history,primary_category,0.03826516284607351
xgboost_classifier__base_plus_train_author_reference_history,text_lsa,0.6215348469559103
xgboost_classifier__base_plus_train_author_reference_history,author_history,0.14292569796089083
xgboost_classifier__base_plus_train_author_reference_history,numeric_metadata,0.11124666361138225
xgboost_classifier__base_plus_train_author_reference_history,reference_history,0.08369256369769573
xgboost_classifier__base_plus_train_author_reference_history,primary_category,0.040600265841931105
xgboost_regressor__base,text_lsa,0.7036984944716096
xgboost_regressor__base,numeric_metadata,0.19026663526892662
xgboost_regressor__base,primary_category,0.10603482043370605
xgboost_regressor__base_plus_full_text_affiliation_country,text_lsa,0.3652742092963308
xgboost_regressor__base_plus_full_text_affiliation_country,full_text,0.2605386935174465
xgboost_regressor__base_plus_full_text_affiliation_country,affiliation,0.1323621068149805
xgboost_regressor__base_plus_full_text_affiliation_country,numeric_metadata,0.12558855745010078
xgboost_regressor__base_plus_full_text_affiliation_country,primary_category,0.06516626663506031
xgboost_regressor__base_plus_full_text_affiliation_country,country,0.05107014917302877
xgboost_regressor__base_plus_full_text_affiliation_country_history,text_lsa,0.34506355645135045
xgboost_regressor__base_plus_full_text_affiliation_country_history,full_text,0.24923695297911763
xgboost_regressor__base_plus_full_text_affiliation_country_history,author_history,0.1144950408488512
xgboost_regressor__base_plus_full_text_affiliation_country_history,numeric_metadata,0.10465127881616354
