space,k,silhouette,davies_bouldin,inertia
text_meta,2,0.07374736666679382,3.1030151656036673,41109.1171875
text_meta,3,0.10013946890830994,2.7691845267593145,38301.3046875
text_meta,4,0.09427075833082199,3.175609390610774,36673.71875
text_meta,5,0.08723100274801254,3.0155931517357604,35474.12109375
text_meta,6,0.07996523380279541,2.9912289335914823,34829.51171875
text_meta,7,0.07020500302314758,2.991385221989034,34332.73828125
text_meta,8,0.05979091301560402,3.2326245822015425,33886.375
text_meta,9,0.05714104697108269,3.377819889637362,33431.25
text_meta,10,0.05583522841334343,3.3769646449140067,33095.3671875
text_meta,11,0.05553320795297623,3.3320393806902278,32767.3125
text_meta,12,0.05385516211390495,3.304816529877256,32474.390625
text,2,0.02870701067149639,5.579504079192795,19146.705078125
text,3,0.033450767397880554,5.008822077979379,18711.22265625
text,4,0.031878989189863205,5.1647755041706755,18386.451171875
text,5,0.0347103513777256,4.696745469516808,18086.94921875
text,6,0.03544080629944801,4.352593847664067,17835.931640625
text,7,0.03798095881938934,4.187827640543642,17618.498046875
text,8,0.03846685215830803,4.208197910047835,17423.421875
text,9,0.04110446944832802,4.0538935758805135,17218.07421875
text,10,0.04263802990317345,3.944950275889115,17057.453125
text,11,0.043117448687553406,3.9370704016266402,16909.60546875
text,12,0.04460551589727402,3.885057290826765,16769.7578125
text,13,0.046723853796720505,3.7662410555653256,16637.642578125
text,14,0.048489443957805634,3.635639093998831,16477.41015625
text,15,0.04916579648852348,3.71059291982364,16390.64453125
text,16,0.04984542354941368,3.544800568955345,16250.525390625
